PRODUCT CODE,COLOR,PRODUCT NAME,CAPACITY (ML),"PACKAGE DIMENSIONS (CM)
W X D X H",PACKAGE WEIGHT (KG),Material,PRODUCT DESCRIPTION / USP,HEAT / COLD RETENTION
ACD-18,BLACK(B),1.75L Stainless Steel Vacuum Wine Cooler,1.75L,11.9 X 11.9 X 22.8,0.6,,"-Double wall vacuum insulated wine cooler keep your beverages at the desired temperature.
-Condensation-free.   ",N/A
IBC-55,Stainless(XA),550ML MINI ICE PAIL,550ML,,,,"- Double wall vacuum insulated mini ice pail, keep your ice frozen longer.         
- Use this as an ice bucket for drinks or keep your beverage bottle cold.                    
- With ice tongs.                                            
- With the wooden lid that can be used as a small tray for dried fruits or cheese. 
",N/A
ACF-38,Stainless(XA),380ML VACUUM DRINKING VESSEL SET,380ML,,,,"- Double wall insulated stainless ""sake"" bottle keeps your liquors at the desired temperature longer.                                    
- 300ml capacity for the sake vessel and 0.04L for each sake cup. 
","- Hot Retention (1HRS) : Above 63° C 
- Cold Retention (1HRS) : Below 7°C"""
ATD-42,"Stainless(XA)
Black (B)",420ML BEER TUMBLER,420ML,8.5cm x 8cm x 17cm,,SUS304,"- Double wall vacuum insulated beer tumber keeps your beer cold and condensation-free.                                       
- Perfect size 420ml to enjoy your beer at home.                                                
- Keep your highball or Sawa delicious for hours.

","- Hot Retention (1HRS) : Above 48° C 
- Cold Retention (1HRS) : Below 8°C"
ATE-30,BLACK (B),270ML SHOCHU TUMBLER,270ML,,,,"- Double wall insulated stainless cup keeps your beverage in the ceramic cup at the desired temperature longer.           
- Microwave oven OK! Use microwave to heat your liquors in the ceramic cup. 
",
ATK-10,Stainless (XA),,,,,,,
ACE-12,Stainless (XA),,1250ML,,,,,
ATJ-50,Stainless (XA),,500ML,,,,,
ATJ-65,Black (B),,650ML,,,,,
